customer_id,num_sessions,avg_session_dur_min,pages_per_session,cart_add_rate,checkout_rate,num_purchases,total_revenue_usd,avg_order_value,days_since_last_purchase,return_rate,device_type,region,acquisition_channel
CUST00097,32,15.7,10.72,0.6626,0.4543,17,254.69,14.98,27,0.0542,mobile,East,social
CUST00098,34,16.37,11.29,0.514,0.4471,16,183.55,11.47,39,0.1236,mobile,South,paid_search
CUST00099,32,15.37,10.62,0.5059,0.436,18,370.71,20.6,46,0.1388,tablet,North,organic
CUST00100,31,15.23,10.45,0.4729,0.4175,17,135.77,7.99,32,0.1072,desktop,International,organic
CUST00101,21,10.83,7.49,0.4159,0.1989,11,689.62,62.69,98,0.1062,mobile,South,social
CUST00102,22,11.32,7.88,0.437,0.2976,10,57.91,5.79,99,0.0374,tablet,North,organic
CUST00103,23,11.57,7.98,0.4471,0.3064,11,1127.44,102.49,106,0.035,desktop,International,email
CUST00104,21,10.81,7.56,0.4374,0.2447,11,1660.03,150.91,103,0.0965,mobile,West,paid_search
CUST00105,24,12.22,8.42,0.4682,0.2683,12,79.22,6.6,97,0.1217,mobile,South,organic
CUST00106,25,12.44,8.67,0.4393,0.2444,11,79.17,7.2,89,0.001,mobile,South,email
CUST00107,23,11.74,8.31,0.3567,0.3375,10,406.37,40.64,92,0.1162,desktop,West,paid_search
CUST00108,24,11.98,8.27,0.4038,0.3475,10,56.46,5.65,114,0.0527,desktop,South,paid_search
CUST00109,22,11.33,7.95,0.3263,0.3879,12,133.16,11.1,97,0.0781,mobile,East,paid_search
CUST00110,24,12.24,8.45,0.4341,0.3312,10,955.08,95.51,99,0.0203,mobile,East,organic
CUST00111,23,11.65,8.17,0.3856,0.2765,10,608.54,60.85,98,0.0446,mobile,South,social
CUST00112,21,11.04,7.55,0.4522,0.2354,11,2823.85,256.71,106,0.1323,mobile,East,paid_search
CUST00113,22,11.27,7.87,0.4864,0.226,11,302.16,27.47,89,0.0927,mobile,East,social
CUST00114,21,10.99,7.66,0.3944,0.2668,11,115.07,10.46,104,0.0654,mobile,North,social
CUST00115,22,11.45,7.96,0.4741,0.2697,11,260.68,23.7,107,0.0772,mobile,West,social
CUST00116,25,12.41,8.54,0.4138,0.3174,11,203.16,18.47,96,0.1128,tablet,North,email
CUST00117,22,11.53,8.01,0.5197,0.272,11,206.71,18.79,91,0.1124,mobile,East,social
CUST00118,22,11.23,7.8,0.409,0.3359,11,237.6,21.6,117,0.0751,mobile,East,paid_search
CUST00119,21,10.74,7.57,0.4114,0.3277,12,77.41,6.45,99,0.1412,mobile,West,paid_search
CUST00120,23,11.8,8.16,0.4736,0.3288,13,346.74,26.67,88,0.1402,mobile,South,organic
CUST00121,22,11.37,7.96,0.4003,0.372,10,42.95,5.0,97,0.1089,desktop,West,email
CUST00122,22,11.14,7.78,0.3737,0.2511,11,100.95,9.18,106,0.0862,desktop,North,email
CUST00123,24,12.25,8.47,0.423,0.3552,11,211.28,19.21,86,0.1259,mobile,West,organic
CUST00124,23,11.53,8.03,0.4211,0.3153,12,15.02,5.0,92,0.1052,mobile,West,email
CUST00125,21,11.07,7.77,0.4995,0.3063,11,632.59,57.51,109,0.1354,mobile,West,social
CUST00126,23,11.88,8.24,0.3641,0.3893,10,19.38,5.0,93,0.1346,mobile,East,paid_search
CUST00127,22,11.19,7.86,0.4296,0.3638,11,559.5,50.86,105,0.0333,desktop,South,organic
CUST00128,23,11.52,8.09,0.455,0.269,11,49.56,5.0,97,0.033,mobile,North,paid_search
CUST00129,22,11.4,7.89,0.4324,0.3064,11,148.39,13.49,91,0.0553,desktop,South,social
CUST00130,23,11.73,8.08,0.4873,0.3288,11,464.61,42.24,91,0.1391,desktop,East,organic
CUST00131,21,10.77,7.51,0.4386,0.3171,11,3696.16,336.01,93,0.0108,mobile,North,paid_search
CUST00132,22,11.2,7.74,0.4014,0.3353,10,282.54,28.25,97,0.1074,mobile,International,direct
CUST00133,23,11.64,8.17,0.4524,0.3296,11,21.14,5.0,111,0.0994,tablet,West,social
CUST00134,22,11.49,7.98,0.4236,0.4039,11,794.7,72.25,97,0.1458,mobile,North,paid_search
CUST00135,22,11.03,7.7,0.4103,0.2444,12,183.74,15.31,102,0.0944,mobile,East,paid_search
CUST00136,23,11.88,8.19,0.4456,0.307,11,266.76,24.25,85,0.0257,mobile,West,organic
CUST00137,20,10.41,7.31,0.3916,0.2712,11,487.38,44.31,99,0.0388,desktop,North,direct
CUST00138,23,11.7,8.08,0.3963,0.3489,11,15.66,5.0,98,0.0278,mobile,East,direct
CUST00139,24,11.99,8.35,0.412,0.2468,11,246.68,22.43,101,0.0591,tablet,South,social
CUST00140,22,11.25,7.9,0.4968,0.3378,11,147.52,13.41,100,0.0768,desktop,North,organic
CUST00141,23,11.6,8.06,0.302,0.3153,12,1106.72,92.23,100,0.028,desktop,East,organic
CUST00142,24,12.07,8.36,0.4493,0.284,10,600.7,60.07,106,0.1573,mobile,International,organic
CUST00143,21,10.71,7.44,0.432,0.249,11,32.8,5.0,83,0.0275,desktop,South,paid_search
CUST00144,23,11.63,8.13,0.348,0.2994,11,1163.91,105.81,115,0.1465,mobile,East,organic
CUST00145,23,11.65,8.1,0.4609,0.3873,10,426.34,42.63,88,0.151,mobile,South,social
CUST00146,23,11.66,8.09,0.4532,0.3194,11,36.19,5.0,79,0.1409,tablet,West,paid_search
CUST00147,23,11.58,8.06,0.4678,0.359,11,262.14,23.83,104,0.0496,mobile,West,organic
CUST00148,23,11.86,8.23,0.2909,0.3992,11,878.46,79.86,101,0.1028,tablet,North,social
CUST00149,23,11.75,8.07,0.5078,0.3417,12,54.62,5.0,101,0.0217,mobile,West,organic
CUST00150,22,11.39,7.93,0.3849,0.2868,11,1341.48,121.95,94,0.1345,tablet,North,email
CUST00151,23,11.95,8.32,0.4569,0.3387,12,37.78,5.0,86,0.0889,mobile,North,paid_search
CUST00152,23,11.64,8.08,0.4974,0.3175,11,92.08,8.37,107,0.0624,desktop,West,paid_search
CUST00153,21,10.73,7.43,0.4114,0.3155,11,76.36,6.94,98,0.0261,mobile,South,organic
CUST00154,23,11.6,8.04,0.4528,0.2372,12,1340.41,111.7,96,0.001,mobile,East,direct
CUST00155,23,11.51,8.07,0.4255,0.3789,11,133.42,12.13,96,0.0364,desktop,West,social
CUST00156,22,11.14,7.79,0.3378,0.3107,12,58.19,5.0,87,0.1482,desktop,North,paid_search
CUST00157,24,12.22,8.47,0.4865,0.3287,10,424.07,42.41,98,0.0669,mobile,South,organic
CUST00158,23,11.67,7.97,0.411,0.2847,10,553.72,55.37,85,0.0848,mobile,East,social
CUST00159,22,11.42,7.96,0.3865,0.3423,10,558.09,55.81,111,0.1141,mobile,South,organic
CUST00160,23,11.81,8.17,0.4158,0.2877,10,175.01,17.5,109,0.1729,mobile,North,direct
CUST00161,22,11.36,7.91,0.4711,0.3354,11,335.09,30.46,109,0.1481,mobile,North,direct
CUST00162,22,11.29,7.97,0.4285,0.366,9,109.6,12.18,98,0.0387,desktop,West,social
CUST00163,22,11.39,7.87,0.4718,0.3718,12,1936.51,161.38,88,0.001,mobile,International,direct
CUST00164,22,11.38,7.84,0.3531,0.3123,13,1005.53,77.35,97,0.2057,mobile,North,organic
CUST00165,22,11.55,8.08,0.3976,0.2363,11,932.27,84.75,97,0.2004,tablet,North,organic
CUST00166,22,11.29,7.8,0.4218,0.4689,11,652.53,59.32,102,0.0949,mobile,West,organic
CUST00167,22,11.15,7.84,0.5313,0.4134,11,464.96,42.27,86,0.0296,desktop,International,organic
CUST00168,20,10.3,7.2,0.444,0.3726,12,52.62,5.0,115,0.1279,desktop,South,direct
CUST00169,22,11.31,7.89,0.4842,0.2834,10,534.98,53.5,103,0.0792,desktop,West,organic
CUST00170,21,10.94,7.69,0.4606,0.3377,12,281.78,23.48,87,0.0866,desktop,East,email
CUST00171,23,11.84,8.17,0.3956,0.286,11,1164.97,105.91,94,0.1341,desktop,International,email
CUST00172,21,10.89,7.64,0.4323,0.3957,11,663.34,60.3,101,0.1028,mobile,North,paid_search
CUST00173,23,11.8,8.19,0.4326,0.3428,11,482.9,43.9,88,0.0326,mobile,International,organic
CUST00174,21,10.96,7.61,0.4735,0.2923,11,30.56,5.0,100,0.0701,desktop,South,organic
CUST00175,23,11.67,8.11,0.4868,0.2883,12,219.22,18.27,99,0.1199,mobile,International,organic
CUST00176,22,11.35,7.83,0.4671,0.3921,11,122.84,11.17,109,0.1077,mobile,East,paid_search
CUST00177,21,10.73,7.53,0.5025,0.4114,10,334.19,33.42,83,0.1072,desktop,East,paid_search
CUST00178,20,10.47,7.31,0.4097,0.4192,11,146.46,13.31,99,0.1338,desktop,West,social
CUST00179,22,11.25,7.92,0.4197,0.367,11,174.02,15.82,89,0.0736,mobile,West,email
CUST00180,23,11.55,8.08,0.4008,0.3139,11,431.38,39.22,99,0.0962,tablet,East,paid_search
CUST00181,23,11.65,8.14,0.4276,0.145,10,143.49,14.35,91,0.001,desktop,South,organic
CUST00182,23,11.55,8.04,0.4146,0.3379,11,284.34,25.85,95,0.0663,tablet,West,email
CUST00183,22,11.25,7.75,0.461,0.3167,11,37.46,5.0,106,0.122,tablet,International,paid_search
CUST00184,23,11.7,8.22,0.3655,0.3141,12,87.52,7.29,94,0.0698,mobile,North,organic
CUST00185,23,11.67,8.07,0.4504,0.338,12,550.22,45.85,89,0.068,desktop,East,email
CUST00186,21,10.57,7.41,0.4521,0.2453,11,53.54,5.0,99,0.0355,desktop,West,direct
CUST00187,23,11.71,8.18,0.3219,0.3453,11,1139.87,103.62,103,0.1348,desktop,West,direct
CUST00188,22,11.24,7.87,0.5221,0.3418,10,815.28,81.53,108,0.1099,desktop,West,organic
CUST00189,21,11.01,7.71,0.4351,0.3702,10,175.69,17.57,76,0.1386,mobile,West,paid_search
CUST00190,23,11.81,8.21,0.3362,0.3743,11,9935.9,903.26,93,0.0038,mobile,West,organic
CUST00191,22,11.21,7.88,0.4446,0.3565,12,1136.18,94.68,98,0.0791,mobile,West,direct
CUST00192,24,12.02,8.29,0.4272,0.2971,11,75.75,6.89,83,0.0801,desktop,International,organic
CUST00193,22,11.25,7.78,0.4554,0.3405,11,615.01,55.91,103,0.0714,desktop,West,organic
CUST00194,23,11.76,8.24,0.4977,0.3398,11,265.43,24.13,110,0.0508,mobile,West,email
CUST00195,22,11.08,7.65,0.469,0.3278,11,93.75,8.52,92,0.0725,desktop,North,direct
CUST00196,23,11.56,8.05,0.4319,0.3609,11,65.27,5.93,93,0.1323,desktop,North,social
CUST00197,23,11.8,8.1,0.4721,0.3685,12,836.19,69.68,94,0.001,mobile,East,organic
CUST00198,22,11.45,7.96,0.4074,0.4114,11,116.91,10.63,96,0.1771,mobile,West,paid_search
CUST00199,23,11.58,8.07,0.5065,0.4219,10,215.76,21.58,89,0.1156,mobile,South,email
CUST00200,22,11.53,7.97,0.3702,0.3361,11,78.44,7.13,97,0.0855,tablet,North,social
CUST00201,23,11.91,8.25,0.435,0.1277,11,97.12,8.83,101,0.1311,desktop,South,organic
CUST00202,22,11.28,7.81,0.4341,0.3836,11,209.19,19.02,102,0.0131,mobile,West,organic
CUST00203,24,12.07,8.49,0.4636,0.2886,11,395.23,35.93,101,0.0526,mobile,West,email
CUST00204,24,12.19,8.53,0.3955,0.287,12,10.0,5.0,110,0.0759,desktop,International,paid_search
CUST00205,23,11.74,8.02,0.3598,0.3144,11,249.86,22.71,89,0.1598,desktop,South,social
CUST00206,22,11.31,7.92,0.4619,0.3175,12,97.36,8.11,101,0.0838,desktop,South,paid_search
CUST00207,22,11.36,7.85,0.4687,0.3709,12,1383.18,115.26,103,0.108,mobile,South,paid_search
CUST00208,22,11.29,7.88,0.5057,0.2441,10,9272.09,927.21,104,0.0546,mobile,South,direct
CUST00209,21,11.0,7.7,0.3611,0.2631,11,157.0,14.27,96,0.1127,tablet,West,paid_search
CUST00210,24,12.2,8.43,0.4793,0.3317,12,29.16,5.0,99,0.1706,mobile,South,social
CUST00211,22,11.48,8.03,0.5625,0.3632,10,282.69,28.27,94,0.1387,mobile,North,organic
CUST00212,23,11.52,8.06,0.4228,0.3622,11,189.86,17.26,77,0.0926,desktop,South,organic
CUST00213,22,11.2,7.78,0.3633,0.2801,11,2793.16,253.92,102,0.1192,tablet,North,email
CUST00214,22,11.23,7.74,0.4307,0.2886,12,1916.97,159.75,102,0.1142,desktop,North,email
CUST00215,22,11.14,7.71,0.4421,0.3046,11,712.57,64.78,91,0.1152,desktop,East,social
CUST00216,23,11.62,7.98,0.4427,0.3211,12,118.55,9.88,82,0.1498,mobile,North,organic
CUST00217,22,11.24,7.82,0.4002,0.3952,11,565.18,51.38,95,0.144,mobile,East,organic
CUST00218,23,11.77,8.14,0.5399,0.2437,11,339.45,30.86,103,0.0781,mobile,South,direct
CUST00219,21,10.85,7.57,0.3694,0.3063,11,329.66,29.97,83,0.1263,desktop,East,organic
CUST00220,22,11.21,7.91,0.3511,0.2607,11,35.71,5.0,88,0.0728,mobile,International,email
CUST00221,25,12.73,8.82,0.4832,0.2368,11,908.22,82.57,90,0.0453,desktop,East,organic
CUST00222,23,11.81,8.2,0.3462,0.3927,11,279.54,25.41,100,0.0727,mobile,East,direct
CUST00223,23,11.75,8.17,0.4398,0.3639,12,216.04,18.0,92,0.0856,mobile,International,direct
CUST00224,24,11.93,8.41,0.6067,0.3597,12,116.6,9.72,92,0.0069,mobile,South,organic
CUST00225,22,11.57,7.98,0.4364,0.3726,12,91.81,7.65,105,0.1275,desktop,North,email
CUST00226,23,11.61,8.09,0.3737,0.2969,11,362.08,32.92,87,0.001,mobile,South,organic
CUST00227,23,11.56,7.99,0.4328,0.3039,10,28.21,5.0,91,0.226,desktop,South,organic
CUST00228,23,11.81,8.21,0.4617,0.457,11,648.82,58.98,96,0.1634,mobile,East,paid_search
CUST00229,23,11.64,8.12,0.4643,0.3292,11,66.55,6.05,95,0.0755,desktop,North,social
CUST00230,23,11.82,8.15,0.4706,0.3637,11,19.24,5.0,95,0.0887,desktop,West,paid_search
CUST00231,24,12.07,8.34,0.3692,0.3145,11,2322.33,211.12,104,0.1,mobile,North,social
CUST00232,24,12.06,8.34,0.4988,0.2166,11,84.79,7.71,94,0.0595,desktop,International,organic
CUST00233,24,12.15,8.46,0.4464,0.2221,11,100.29,9.12,82,0.1042,desktop,International,organic
CUST00234,21,10.84,7.44,0.4417,0.273,11,993.6,90.33,101,0.0784,desktop,International,social
CUST00235,21,11.06,7.68,0.4132,0.3852,11,2417.56,219.78,101,0.0807,desktop,West,paid_search
CUST00236,21,11.03,7.66,0.5111,0.3736,11,36.84,5.0,98,0.0962,mobile,North,social
CUST00237,25,12.26,8.52,0.4077,0.3595,10,75.11,7.51,104,0.0192,mobile,West,social
CUST00238,22,11.54,7.99,0.4522,0.2782,11,82.25,7.48,95,0.0908,mobile,North,email
CUST00239,21,10.95,7.59,0.4078,0.421,11,776.37,70.58,88,0.0999,tablet,West,paid_search
CUST00240,23,11.7,8.12,0.3913,0.2816,11,1853.05,168.46,94,0.0956,mobile,South,organic
CUST00241,23,11.78,8.18,0.4874,0.3496,11,64.44,5.86,92,0.0794,desktop,South,social
CUST00242,22,11.42,7.93,0.4323,0.3396,11,1404.5,127.68,82,0.1511,desktop,International,social
CUST00243,22,11.52,8.05,0.373,0.3013,11,101.92,9.27,103,0.0673,desktop,North,paid_search
CUST00244,23,11.91,8.3,0.394,0.3851,11,370.62,33.69,113,0.0918,mobile,North,social
CUST00245,22,11.35,7.83,0.4372,0.2643,10,50.88,5.09,92,0.1552,mobile,South,paid_search
CUST00246,23,11.85,8.26,0.4093,0.262,10,210.48,21.05,98,0.0834,mobile,West,organic
CUST00247,23,11.47,8.03,0.4135,0.3138,12,213.31,17.78,90,0.1015,mobile,East,social
CUST00248,22,11.32,7.97,0.4361,0.3053,11,165.79,15.07,115,0.075,mobile,West,organic
CUST00249,22,11.43,7.84,0.3299,0.4867,10,393.66,39.37,100,0.1483,mobile,West,paid_search
CUST00250,24,12.33,8.59,0.3701,0.3656,11,70.54,6.41,93,0.0768,desktop,North,paid_search
CUST00251,24,12.08,8.39,0.4643,0.3142,11,82.14,7.47,103,0.1492,mobile,East,paid_search
CUST00252,23,11.79,8.19,0.4035,0.2763,12,420.25,35.02,93,0.0847,mobile,West,social
CUST00253,24,11.95,8.45,0.4806,0.2254,12,1283.86,106.99,96,0.0453,mobile,East,organic
CUST00254,25,12.36,8.64,0.474,0.2665,12,237.89,19.82,95,0.1222,mobile,South,direct
CUST00255,22,11.17,7.79,0.4644,0.3257,11,455.83,41.44,94,0.0739,mobile,North,social
CUST00256,23,11.68,8.05,0.5182,0.3903,11,624.12,56.74,79,0.1266,mobile,North,paid_search
CUST00257,24,12.26,8.59,0.4367,0.3857,11,682.53,62.05,97,0.001,desktop,North,organic
CUST00258,23,11.74,8.12,0.4536,0.3257,11,75.36,6.85,111,0.0815,mobile,South,organic
CUST00259,23,11.6,8.07,0.4145,0.3156,11,93.72,8.52,84,0.0704,tablet,North,social
CUST00260,21,11.05,7.62,0.5378,0.3231,11,104.34,9.49,89,0.0383,mobile,South,paid_search
CUST00261,24,12.32,8.58,0.528,0.2942,12,2649.61,220.8,98,0.0597,tablet,North,organic
CUST00262,22,11.38,7.99,0.4475,0.4202,11,458.38,41.67,111,0.0529,desktop,West,paid_search
CUST00263,24,12.18,8.44,0.473,0.33,11,433.66,39.42,95,0.0866,desktop,West,social
CUST00264,23,11.74,8.16,0.5065,0.3234,11,384.66,34.97,103,0.0166,tablet,South,social
CUST00265,22,11.55,7.96,0.4435,0.2265,11,47.88,5.0,101,0.1019,mobile,East,social
CUST00266,23,11.81,8.24,0.3637,0.2853,12,2681.07,223.42,112,0.1493,mobile,International,email
